Sample,I was irritated more than people knew.,I felt angry.,I felt like I was ready to explode.,I was grouchy.,I felt annoyed.,Total Raw Score (TR),Prorated Score (PS),End Result Label
Sample 1,1,1,1,1,1,5,5,None to slight
Sample 2,1,1,1,1,1,5,5,None to slight
Sample 3,1,1,1,1,1,5,5,None to slight
Sample 4,2,1,1,1,1,6,6,None to slight
Sample 5,2,2,1,1,1,7,7,None to slight
Sample 6,2,2,2,1,1,8,8,None to slight
Sample 7,3,2,2,2,1,10,10,None to slight
Sample 8,3,3,2,2,2,12,12,None to slight
Sample 9,3,3,3,3,1,13,13,None to slight
Sample 10,4,3,3,3,2,15,15,Mild
Sample 11,4,4,3,3,3,17,17,Moderate
Sample 12,4,4,4,3,3,18,18,Moderate
Sample 13,4,4,4,4,3,19,19,Moderate
Sample 14,5,4,4,4,3,20,20,Moderate
Sample 15,5,5,4,4,4,22,22,Severe
Sample 16,5,5,5,4,4,23,23,Severe
Sample 17,5,5,5,5,4,24,24,Severe
Sample 18,5,5,5,5,5,25,25,Severe
Sample 19,1,1,1,1,1,5,5,None to slight
Sample 20,2,2,1,1,1,7,7,None to slight
Sample 21,3,3,2,2,2,12,12,None to slight
Sample 22,4,3,3,3,2,15,15,Mild
Sample 23,4,4,4,3,3,18,18,Moderate
Sample 24,5,5,5,5,5,25,25,Severe
Sample 25,1,1,1,1,1,5,5,None to slight
Sample 26,2,2,2,2,2,10,10,None to slight
Sample 27,3,3,3,3,3,15,15,Mild
Sample 28,4,4,4,4,3,19,19,Moderate
Sample 29,5,5,5,5,4,24,24,Severe
Sample 30,1,1,1,1,1,5,5,None to slight
Sample 31,2,2,2,2,2,10,10,None to slight
Sample 32,3,3,3,3,3,15,15,Mild
Sample 33,4,4,4,4,3,19,19,Moderate
Sample 34,5,5,5,5,4,24,24,Severe
Sample 35,1,1,1,1,1,5,5,None to slight
Sample 36,2,2,2,2,2,10,10,None to slight
Sample 37,3,3,3,3,3,15,15,Mild
Sample 38,4,4,4,4,3,19,19,Moderate
Sample 39,5,5,5,5,4,24,24,Severe
Sample 40,1,1,1,1,1,5,5,None to slight
Sample 41,2,2,2,2,2,10,10,None to slight
Sample 42,3,3,3,3,3,15,15,Mild
Sample 43,4,4,4,4,3,19,19,Moderate
Sample 44,5,5,5,5,4,24,24,Severe
Sample 45,1,1,1,1,1,5,5,None to slight
Sample 46,2,2,2,2,2,10,10,None to slight
Sample 47,3,3,3,3,3,15,15,Mild
Sample 48,4,4,4,4,3,19,19,Moderate
Sample 49,5,5,5,5,4,24,24,Severe
Sample 50,1,1,1,1,1,5,5,None to slight
Sample 51,2,2,2,2,2,10,10,None to slight
Sample 52,3,3,3,3,3,15,15,Mild
Sample 53,4,4,4,4,3,19,19,Moderate
Sample 54,5,5,5,5,4,24,24,Severe
Sample 55,1,1,1,1,1,5,5,None to slight
Sample 56,2,2,2,2,2,10,10,None to slight
Sample 57,3,3,3,3,3,15,15,Mild
Sample 58,4,4,4,4,3,19,19,Moderate
Sample 59,5,5,5,5,4,24,24,Severe
Sample 60,3,3,3,3,3,15,15,Mild
